gene_id	evidence_group	sample_id	cultivar	treatment	replicate	normalized_count	log2_normalized_count_plus_1
LITCHI005805	Tier B	GW_P3	Guiwei	infected	3	164.014199975971	7.366446367903011
LITCHI005805	Tier B	GW_M1	Guiwei	mock	1	655.324062497588	9.358264516688953
LITCHI005805	Tier B	GW_M2	Guiwei	mock	2	477.683076878404	8.90292699241654
LITCHI005805	Tier B	GW_M3	Guiwei	mock	3	733.069015186149	9.519771897510932
LITCHI005805	Tier B	YR_P1	Yurong1	infected	1	455.45444652043	8.834327078333992
LITCHI005805	Tier B	YR_P2	Yurong1	infected	2	533.991907174715	9.063373257798393
LITCHI005805	Tier B	YR_P3	Yurong1	infected	3	389.599245605496	8.609545352613713
LITCHI005805	Tier B	YR_M1	Yurong1	mock	1	345.240436779091	8.435630413999617
LITCHI005805	Tier B	YR_M2	Yurong1	mock	2	403.643555635648	8.66050780902221
LITCHI005805	Tier B	YR_M3	Yurong1	mock	3	480.713970501613	8.912032954847895
LITCHI019519	Legacy highlight	GW_P1	Guiwei	infected	1	218.147859764468	7.775760779099232
LITCHI019519	Legacy highlight	GW_P2	Guiwei	infected	2	1435.72302058216	10.488566242526707
LITCHI019519	Legacy highlight	GW_P3	Guiwei	infected	3	102.6346527457	6.69536267335134
LITCHI019519	Legacy highlight	GW_M1	Guiwei	mock	1	39.0655178836118	5.32428921986033
LITCHI019519	Legacy highlight	GW_M2	Guiwei	mock	2	32.8728138927073	5.082055934699357
LITCHI019519	Legacy highlight	GW_M3	Guiwei	mock	3	59.1599556115138	5.9107315974236485
LITCHI019519	Legacy highlight	YR_P1	Yurong1	infected	1	1764.62118116985	10.785960126701614
LITCHI019519	Legacy highlight	YR_P2	Yurong1	infected	2	1167.09594863565	10.189943068242606
LITCHI019519	Legacy highlight	YR_P3	Yurong1	infected	3	2323.92532466436	11.182968663047676
LITCHI019519	Legacy highlight	YR_M1	Yurong1	mock	1	952.986176079562	9.897824550506602
LITCHI019519	Legacy highlight	YR_M2	Yurong1	mock	2	1242.37024033585	10.280040238624595
LITCHI019519	Legacy highlight	YR_M3	Yurong1	mock	3	1754.9208704775	10.778012116812164
