gene_id	RNA-Seq_FZX_Fr_C1	RNA-Seq_FZX_Fr_C2	RNA-Seq_FZX_Fr_C3	RNA-Seq_FZX_Fr_M1	RNA-Seq_FZX_Fr_M2	RNA-Seq_FZX_Fr_M3	RNA-Seq_FZX_Le_C1	RNA-Seq_FZX_Le_C2	RNA-Seq_FZX_Le_C3	RNA-Seq_FZX_Le_M1	RNA-Seq_FZX_Le_M2	RNA-Seq_FZX_Le_M3
LITCHI014341	10.720084490776	10.6942243879416	10.7510366494322	10.6682050704989	10.5657738649533	10.6018434231996	10.9755318446309	10.7952872127894	10.8596937338363	10.7953913959453	10.7534785955481	10.680519607997
LITCHI014344	9.84283573432256	9.81355329322611	9.80916413910779	9.88387895724928	9.86872221109929	9.97994843838906	9.87658516145835	9.84336854699944	9.81361593624641	9.82570400820681	9.76626988726062	9.86898130332699
LITCHI014345	10.6186139462268	10.793820228494	10.5947437924856	10.6640856517169	10.5582137766656	10.7057859304646	10.9808154229816	10.9497834160545	10.8503631936506	10.7756171657486	10.7327619935888	10.7030491485684
LITCHI014346	11.6260163575982	11.734527250913	11.6746478259332	11.5881739808967	11.6032235404302	11.6119010698287	11.4176332366917	11.2827790030825	11.2637244526859	11.272716396122	11.2275616590195	11.1812661641619
LITCHI014347	10.1261668792352	10.1168030295078	10.1639863015893	10.3218988549863	10.2613149293449	10.2705670869477	9.9007381368209	10.0243720793339	10.0180839582833	10.0352556306049	10.0006494579572	10.0193734509416
LITCHI014348	10.6749948192731	10.689617848284	10.5996217403775	10.5239806015255	10.5261888654573	10.5210709194458	11.0631052336067	11.0250318905702	11.0693054041135	11.0777024510341	11.0372748703543	11.0797978156323
LITCHI014349	10.1434878961773	10.2138278485772	10.159658521356	10.1024660453948	10.2001357089123	10.1959991369888	9.74085763667813	9.81170590652797	9.67483234127194	9.77071119755952	9.81013104655464	9.7298951246887
LITCHI014352	10.5046403791668	10.5728070085367	10.4502944812491	10.5535556217078	10.3817593925845	10.4770857974395	10.4408747856968	10.4701054653644	10.3899776854073	10.4141865024873	10.2822874631999	10.2862046071276
LITCHI014355	9.80267634312205	9.74010087723886	9.66711106966091	9.69258814116511	9.75287679212733	9.75906810166213	9.65007474123841	9.74744921826847	9.73375218876138	9.71461088745879	9.64944265857761	9.67524570804231
LITCHI014356	11.0334576297823	11.1412896926208	11.1090064323671	10.7015341286166	10.8231536399364	10.8567310162193	11.3533175250765	11.3221244605786	11.1821933537094	11.0235688375777	11.2048587819353	11.1843773060988
LITCHI014359	9.73171642409439	9.71757288193725	9.65729678324472	9.69258814116511	9.75798051810928	9.82013898064976	9.6196495784989	9.59050702547703	9.51502601510565	9.60747373281908	9.51502601510565	9.60281351473286
LITCHI014360	9.72525818952883	9.75560640270526	9.76124714299953	9.79551166594744	9.77739536275696	9.84055487170343	9.65007474123841	9.73490132498264	9.71867495258201	9.6659495078758	9.82010091445862	9.69051988345697
LITCHI014361	10.2669806776691	10.3198610823071	10.2943084231767	10.164359849307	10.0860490514327	10.128101952523	10.2202962099448	10.3109040829309	10.3273276684983	10.4052166238716	10.2457302778888	10.3758104354179
LITCHI014362	10.8729286981315	10.9049620750466	10.9077862243804	10.7163141304213	10.7144962404086	10.6989347287349	11.3594431472156	11.25711978402	11.2528283002006	11.299934609769	11.3103871277248	11.1887192080519
LITCHI014363	10.9321659120326	11.0063562250354	10.9412178639472	10.9457384969813	10.9364174164715	11.0281703835786	10.5845749316261	10.5964264771512	10.5754090923936	10.5174279056302	10.4171857934306	10.4021055399426
LITCHI014364	12.059290021069	12.079513669946	12.05355280621	11.7539481265122	11.6768142967941	11.7977638567413	11.2975714091489	11.3989581770047	11.3971704082106	11.4372097819344	11.4416203427224	11.3864168549258
LITCHI014365	10.5020480066696	10.4236633780521	10.5521870160268	10.6463766185071	10.6281167545398	10.6949980308028	10.9134307597824	10.8995511312949	10.9051538641203	10.8022229994338	10.7305560140025	10.7883551325679
LITCHI014369	10.1540607029139	10.1434940929346	10.2255396626521	10.1424177452749	10.1861154865521	10.2158917902873	9.92781920493878	9.90608330144352	9.92900557429805	9.8838747565197	9.91711912538588	9.93462455553069
LITCHI014370	9.77768589625915	9.75055232526426	9.83712713855627	9.897723173133	9.93485012039991	9.91809297798337	9.69616006004855	9.72158637431156	9.71069805842931	9.69196928270091	9.61009011780929	9.58670789367817
LITCHI014372	11.093596699734	11.1940525685214	11.0358182571913	11.0945589400426	11.1454160633685	11.0137076173036	11.1971086419869	11.1220221782105	11.1937495285352	11.0632619223373	11.0314675334439	11.1967407729971
LITCHI014373	10.0851568423093	10.1397550831399	9.99398136944525	9.9858060691898	10.0042040747409	9.95743602154226	9.86126760777956	9.9270975217633	10.0022622766125	9.83022186492219	9.96586685201785	9.79225058257044
LITCHI014374	10.7282489158514	10.6624574620939	10.7353313473109	10.7499637856623	10.8354491842636	10.8120739197066	10.4995449289946	10.6236590573022	10.5863760093967	10.615546399189	10.5956915013053	10.4848310718692
LITCHI014376	11.1015255346247	11.0406232829979	11.0508361606008	11.1250685911829	11.0937553647948	11.0937782698982	10.9268017667123	10.8459194301879	10.9506690215925	10.9276660656788	10.870608786587	10.8361256058989
LITCHI014378	9.58941185529418	9.65403238430874	9.64675077020912	9.7441615342715	9.66391444121636	9.70551377363534	9.74876694951276	9.77617305335986	9.80825411047143	9.76510524336586	9.70505122535846	9.84670446829798
LITCHI014382	10.2669806776691	10.3367830750007	10.2371753182445	10.3234454068006	10.3012352884278	10.2403619297298	10.0354324575103	10.091039225413	10.036411989794	9.99620394197712	10.0301654588466	10.0067268200873
LITCHI014383	10.8241508823453	10.783789226326	10.8970102890371	10.7925388508911	11.0053751923093	10.830339336071	10.5381689799004	10.655773419004	10.8100235160696	10.9930569571906	10.9158764816295	10.8612865885078
LITCHI014384	16.2330076786729	16.359038845166	16.1745826918741	16.12003735107	15.9931678776673	16.0890660621606	13.700134220736	13.7696611698647	13.6362898565998	13.137074194042	12.9748490413356	12.9150400114521
LITCHI014385	9.82118584953007	9.84412212257303	9.84155137964408	9.91107287530388	9.89208649584785	9.87790292491569	9.85066000847441	9.94706466736189	9.9094987466627	10.0789079799965	9.92806374023888	9.94061914757576
LITCHI014386	11.6255471137279	11.6207270954923	11.6092254823733	11.6678753322612	11.6095887159222	11.6547822522086	12.1372974099512	12.1125792105863	12.0661918834138	12.0322608872561	12.0578591915729	12.1067227321338
LITCHI014387	9.94719663799351	9.99945750212317	9.950405364745	10.0201877648012	10.0042040747409	10.0674116375517	10.0589049757683	9.97534849314859	10.1168582420404	10.0862490556369	10.0414903337002	10.0848292862371
LITCHI014388	10.4188708471608	10.372183901382	10.4828555758513	10.3507441681275	10.3390468721667	10.3757620475002	10.546344292321	10.5432200371558	10.441547499498	10.4687960185158	10.373728703079	10.3869902587542
LITCHI014391	9.6727611148141	9.70530401894801	9.69333063235677	9.87675373553499	9.86175148686936	9.78422142418652	9.90538545450127	9.93049391554675	9.89315057313595	9.88003293784242	9.79980734255886	9.86171775664493
LITCHI014392	12.128640606152	12.0332509963312	12.0631254685246	12.0262475747373	12.0309467919096	12.056050944113	12.2479383864836	12.3549107984321	12.2484920279923	12.3685391913409	12.4397057641277	12.3894180978343
LITCHI014393	10.9867532544812	10.9953864201299	11.0076194040739	11.0779511425146	11.0137013355702	11.0459918385498	10.7368445915328	10.7326879259267	10.7736654079358	10.7379835023979	10.7014201757577	10.7530768667034
LITCHI014394	10.0005659043946	9.86527489715862	10.0337894389374	10.0936832298517	10.0818260429999	10.0342701513841	10.0035246013561	9.95351265345982	10.0453286353718	9.94710182560384	10.0214984883886	9.86536872315652
LITCHI014395	11.3697230879972	11.4183173251233	11.3302638728523	11.3173548456748	11.2177159687443	11.1487532876842	10.8792581726056	10.7030770366901	10.6857863391718	10.6330393823628	10.6403834287636	10.6844756007004
