Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
HC_24hpi_3_R1 - polya	(1, 0.0017021291350213148)	(2, 0.0033569769051809265)	(3, 0.004200161245214633)	(4, 0.005319153546941609)	(5, 0.006319942436514327)	(6, 0.007234048823840588)	(7, 0.008416082945383168)	(8, 0.010764390733514427)	(9, 0.013900721269340739)	(10, 0.016891267596843465)	(12, 0.01902680924309706)	(14, 0.02132783566636661)	(16, 0.023388515151589177)	(18, 0.025197027357549327)	(20, 0.026974018653601668)	(22, 0.02845550141926837)	(24, 0.029767559294180634)	(26, 0.03110719796526222)	(28, 0.03252563891111332)	(30, 0.033814056103594725)	(32, 0.03507883261364529)	(34, 0.03631602832752652)	(36, 0.03762020597496184)	(38, 0.03885740168884307)	(40, 0.04013399854010906)	(42, 0.041331793116605536)	(44, 0.04244684530459404)	(46, 0.04359735851622882)	(48, 0.04492517684609498)	(50, 0.04631997710951523)	(52, 0.04738380781890355)	(54, 0.04856190182670765)	(56, 0.049897600384050764)	(58, 0.051186017576532176)	(60, 0.052450794086582736)	(62, 0.053877115259910784)	(64, 0.054779401306021616)	(66, 0.0555792443949321)	(68, 0.056619434421889575)	(70, 0.05755324137790821)	(72, 0.05871557493075841)	(74, 0.06124906806459801)	(76, 0.06483851168034897)	(78, 0.06740352572409637)	(80, 0.07019706636467535)	(82, 0.07296302620908499)	(84, 0.07580778832826413)	(86, 0.07878651431455141)	(88, 0.08189132394046991)	(90, 0.08487793015423417)	(92, 0.08775027306958265)	(94, 0.09086690303671657)	(96, 0.09423176016937446)	(98, 0.09747053366240113)	(100, 0.10042561896625757)	(102, 0.10281726800551205)	(104, 0.10564232955599884)	(106, 0.10797487688917617)	(108, 0.11076841752975515)	(110, 0.11334919202845645)	(112, 0.11581176311500349)	(114, 0.1178015205529335)
HC_24hpi_3_R2 - polya	(1, 0.007320731326087044)	(2, 0.011843981897856648)	(3, 0.014838468339097851)	(4, 0.017241937719567762)	(5, 0.01910167140412809)	(6, 0.02058315416979479)	(7, 0.022285283304816102)	(8, 0.025413733613165464)	(9, 0.028817991883208095)	(10, 0.03216708856091207)	(12, 0.03519703602579955)	(14, 0.038613114637057605)	(16, 0.04171792426297612)	(18, 0.04454298581346288)	(20, 0.04721438292814911)	(22, 0.04987001958788144)	(24, 0.05250595567892139)	(26, 0.05500004767537624)	(28, 0.05739169671463072)	(30, 0.05966514234173095)	(32, 0.06182038455667692)	(34, 0.06402290813648459)	(36, 0.06643031763069299)	(38, 0.06856585927694658)	(40, 0.07082748456283137)	(42, 0.07319943303339349)	(44, 0.07548469900170915)	(46, 0.07802213224928722)	(48, 0.08068958925023498)	(50, 0.08312851965435115)	(52, 0.08574869529043722)	(54, 0.08839645172269259)	(56, 0.0910875494060712)	(58, 0.09392049118403492)	(60, 0.09695437876266086)	(62, 0.10071324726916626)	(64, 0.10443271463828692)	(66, 0.10815218200740757)	(68, 0.1124350856411302)	(70, 0.1165919056352216)	(72, 0.12096937199866761)	(74, 0.1252049942675285)	(76, 0.12993313075369883)	(78, 0.13469672826351542)	(80, 0.13945638565959356)	(82, 0.14428302498922577)	(84, 0.14895205976931897)	(86, 0.15355411261585805)	(88, 0.15832953046689008)	(90, 0.1631719302514762)	(92, 0.1680773718558779)	(94, 0.17275034674970957)	(96, 0.17754152505569548)	(98, 0.18262427177832857)	(100, 0.18711600144019036)	(102, 0.19154862939597506)	(104, 0.1963043466783147)	(106, 0.20074091474783784)	(108, 0.20524840486465357)	(110, 0.2095234282708992)	(112, 0.21356598496657483)	(114, 0.21662745334137012)
HC_48hpi_1_R2 - polya	(1, 0.0048750563409666)	(2, 0.008261798330891836)	(3, 0.010180070161122927)	(4, 0.01176099073845131)	(5, 0.013136854671858437)	(6, 0.0144068829180804)	(7, 0.015782746851487527)	(8, 0.018600622022792508)	(9, 0.0220468965867594)	(10, 0.025344339715622152)	(12, 0.028135755965130845)	(14, 0.03161841154656764)	(16, 0.034423057256974476)	(18, 0.03711525254974707)	(20, 0.03973799317280441)	(22, 0.042198672899859464)	(24, 0.04442452969597244)	(26, 0.04659416128326829)	(28, 0.048988693705832614)	(30, 0.051290619902109924)	(32, 0.05330149795862804)	(34, 0.055408289606657696)	(36, 0.05765068322889336)	(38, 0.05965163918973786)	(40, 0.06176504556821659)	(42, 0.06386191512057265)	(44, 0.06607123509056292)	(46, 0.06824417404308333)	(48, 0.07048656766531898)	(50, 0.07259666667857317)	(52, 0.0747530688049709)	(54, 0.0770913760187181)	(56, 0.07939660958021993)	(58, 0.08178121990711065)	(60, 0.08461563190453833)	(62, 0.0877245552156025)	(64, 0.09095254367475)	(66, 0.09422352788181647)	(68, 0.09794100639419534)	(70, 0.10164194808045152)	(72, 0.10570008521095764)	(74, 0.1098971316808943)	(76, 0.1142727758729559)	(78, 0.11854258437783236)	(80, 0.12311997784859068)	(82, 0.12763122401485827)	(84, 0.13177866000642685)	(86, 0.13620391467685652)	(88, 0.14064570617340888)	(90, 0.14517679653102367)	(92, 0.1496648911407195)	(94, 0.1544010381422556)	(96, 0.15899166107391208)	(98, 0.16359882083169122)	(100, 0.1677429494580353)	(102, 0.17180770131899048)	(104, 0.176084124554316)	(106, 0.1799570492322481)	(108, 0.18385974019720097)	(110, 0.18780211954484832)	(112, 0.19166842949233134)	(114, 0.19469797603800665)
HC_48hpi_2_R1 - polya	(1, 0.001277643103451729)	(2, 0.0028246271854689576)	(3, 0.0037707736999169944)	(4, 0.0047859820037408005)	(5, 0.00579428412862703)	(6, 0.0066506503168865675)	(7, 0.007707295694335835)	(8, 0.010338549869552639)	(9, 0.013460142749337404)	(10, 0.016205348877024225)	(12, 0.018197781500515167)	(14, 0.02042157111841493)	(16, 0.02260392366268924)	(18, 0.024333921486552255)	(20, 0.025991404431570712)	(22, 0.02749349835049369)	(24, 0.028923077390572115)	(26, 0.03031812553596265)	(28, 0.031754610754978645)	(30, 0.03333612573168376)	(32, 0.03477261095069976)	(34, 0.035963926817431775)	(36, 0.03715869577363258)	(38, 0.038208434972144274)	(40, 0.03941356319675145)	(42, 0.040625597600296194)	(44, 0.041623540456776055)	(46, 0.042880465023415054)	(48, 0.04421681064783618)	(50, 0.04550135993022549)	(52, 0.046651238723332045)	(54, 0.04789435093209589)	(56, 0.04907185444095276)	(58, 0.05004217258168231)	(60, 0.05140268983238497)	(62, 0.052663067488492754)	(64, 0.053488355871533194)	(66, 0.05433436279138637)	(68, 0.0554600699582114)	(70, 0.056547793140879765)	(72, 0.05772529664973663)	(74, 0.060259864319827355)	(76, 0.0641963863142462)	(78, 0.06700029496290241)	(80, 0.06992851483243503)	(82, 0.07281875071781096)	(84, 0.07577804839256269)	(86, 0.07858195704121891)	(88, 0.08131680390049936)	(90, 0.08430027320153259)	(92, 0.08730446103937856)	(94, 0.08999441773556476)	(96, 0.09322650947835075)	(98, 0.09634119617919795)	(100, 0.09881706132831926)	(102, 0.10138961298256666)	(104, 0.10414863146812864)	(106, 0.10769840744204318)	(108, 0.11022606893319632)	(110, 0.11285732310841312)	(112, 0.11527448573656504)	(114, 0.11721857510749295)
HC_48hpi_2_R2 - polya	(1, 0.0033702153215375338)	(2, 0.006312247548945299)	(3, 0.007997355209714065)	(4, 0.009661744333670102)	(5, 0.010973918331809714)	(6, 0.012286092329949328)	(7, 0.01364660958065198)	(8, 0.016519580018683977)	(9, 0.02013841778197428)	(10, 0.023460289850948772)	(12, 0.026298729394292886)	(14, 0.02953427422654767)	(16, 0.03246940027501786)	(18, 0.03523532493951741)	(20, 0.03795290635145393)	(22, 0.040597972884545884)	(24, 0.04305657258632327)	(26, 0.04554970318278853)	(28, 0.04799103743722197)	(30, 0.05067063486500181)	(32, 0.05347109042418925)	(34, 0.05571214548943296)	(36, 0.057794358439112396)	(38, 0.060152818546294916)	(40, 0.062435310685164086)	(42, 0.06486973876065995)	(44, 0.06718330870474822)	(46, 0.06944162921733586)	(48, 0.07208669575042781)	(50, 0.07424487666842061)	(52, 0.07665858620710374)	(54, 0.07932782436647721)	(56, 0.08199015634691312)	(58, 0.08484240824813238)	(60, 0.08840254349045329)	(62, 0.0923770494690288)	(64, 0.09609257373744517)	(66, 0.09964234971135971)	(68, 0.10353743463215309)	(70, 0.10785724955760745)	(72, 0.11213908049890513)	(74, 0.11661428445045496)	(76, 0.12119308108606847)	(78, 0.125885829674152)	(80, 0.1306303746042673)	(82, 0.13514356253997384)	(84, 0.13935633169189576)	(86, 0.14363125645425584)	(88, 0.1481893345530566)	(90, 0.1529304263937032)	(92, 0.15749541067144152)	(94, 0.16188774047574042)	(96, 0.16660466069010546)	(98, 0.17114892643103108)	(100, 0.17525119671995176)	(102, 0.1793914509930291)	(104, 0.18384593640776623)	(106, 0.18797583141243723)	(108, 0.19196414974888787)	(110, 0.195993905158964)	(112, 0.1992363561701564)	(114, 0.2020678895345629)
HC_48hpi_3_R1 - polya	(1, 0.0013835241033726168)	(2, 0.0029976355573073364)	(3, 0.004073709859930483)	(4, 0.005080607957384998)	(5, 0.0060875060548395135)	(6, 0.006956051741956767)	(7, 0.008032126044579913)	(8, 0.010284195835069784)	(9, 0.013189596452152279)	(10, 0.015806762881032145)	(12, 0.017778284728338124)	(14, 0.019892002108490736)	(16, 0.022047993836246393)	(18, 0.0239311238658369)	(20, 0.025437627889509304)	(22, 0.027101699936065815)	(24, 0.02846600842689159)	(26, 0.02981878755018926)	(28, 0.03129070347127735)	(30, 0.032631953227046914)	(32, 0.03400010484038206)	(34, 0.035118453490608256)	(36, 0.036313664591021824)	(38, 0.03755883628405718)	(40, 0.03864259683169906)	(42, 0.039772474849453364)	(44, 0.04087929413215145)	(46, 0.04190540784215281)	(48, 0.04324665759792237)	(50, 0.04418053636769889)	(52, 0.04518359134264404)	(54, 0.0465133117308855)	(56, 0.047992913896992326)	(58, 0.04903824321954053)	(60, 0.05022961119744472)	(62, 0.051540115973139344)	(64, 0.05241250478276596)	(66, 0.053196501774677114)	(68, 0.054264889832281525)	(70, 0.05536017974745151)	(72, 0.05649005776520581)	(74, 0.05896887178374842)	(76, 0.06271591623038258)	(78, 0.06557519937735266)	(80, 0.06847291374941641)	(82, 0.07122843258863354)	(84, 0.07403391202047246)	(86, 0.07677405836965212)	(88, 0.07968714523175335)	(90, 0.08254642837872343)	(92, 0.08539033903565603)	(94, 0.08811895601730757)	(96, 0.09098976853180576)	(98, 0.09414112898948783)	(100, 0.0967813541534239)	(102, 0.0994676967874724)	(104, 0.10232697993444248)	(106, 0.107465234729468)	(108, 0.10991714689044503)	(110, 0.11221917727355668)	(112, 0.1146480306994775)	(114, 0.11658496444419916)
HC_48hpi_3_R2 - polya	(1, 0.003189791682775755)	(2, 0.005849232459258674)	(3, 0.007609382568549392)	(4, 0.00891604422173464)	(5, 0.01015352966975126)	(6, 0.011490936303011455)	(7, 0.012897519141440283)	(8, 0.015641508613129306)	(9, 0.019453886142422737)	(10, 0.02283967707317628)	(12, 0.02566821524007141)	(14, 0.028934869373034532)	(16, 0.03188638746022945)	(18, 0.03491476799761173)	(20, 0.037520405058963494)	(22, 0.03983396480960326)	(24, 0.04216674017278986)	(26, 0.04468398541642615)	(28, 0.04718970129253433)	(30, 0.04976843649632052)	(32, 0.052047408144375966)	(34, 0.0542187723621691)	(36, 0.05669374325820234)	(38, 0.05914949854168873)	(40, 0.061509175762440915)	(42, 0.06390344108577742)	(44, 0.06622468708143592)	(46, 0.06846907062690705)	(48, 0.07102474709563703)	(50, 0.07324607190605195)	(52, 0.07549429857403245)	(54, 0.0778347601822378)	(56, 0.08062102400152987)	(58, 0.08350720900606552)	(60, 0.08664319697371012)	(62, 0.09027110462255387)	(64, 0.09416803084705341)	(66, 0.09776903663833159)	(68, 0.10191960894844942)	(70, 0.10608939687111413)	(72, 0.11056663459452828)	(74, 0.11491320615262393)	(76, 0.1194865219387723)	(78, 0.12400219088728015)	(80, 0.12890985833174357)	(82, 0.13351776222047623)	(84, 0.1377413538582721)	(86, 0.1423492577470048)	(88, 0.14684955420547516)	(90, 0.15144592872667975)	(92, 0.15595391143016885)	(94, 0.1598508376546684)	(96, 0.16440109470576056)	(98, 0.16906664543213376)	(100, 0.17309039469944246)	(102, 0.17716794768188232)	(104, 0.18158369544514658)	(106, 0.1854959941596836)	(108, 0.1894659397118611)	(110, 0.1930400436455737)	(112, 0.1966256769468144)	(114, 0.19958872440153744)
HC_6hpi_1_R1 - polya	(1, 0.0014143741726873845)	(2, 0.003255861338116999)	(3, 0.003886028048720289)	(4, 0.004495189202303469)	(5, 0.005279396664387564)	(6, 0.0060916115358318045)	(7, 0.007071870863436922)	(8, 0.010215702564113336)	(9, 0.013961693566032893)	(10, 0.01700399840777878)	(12, 0.018890997613418628)	(14, 0.021359150563281516)	(16, 0.023792294251444218)	(18, 0.026330465724707472)	(20, 0.028455527909908566)	(22, 0.03074513362510052)	(24, 0.03255161152882995)	(26, 0.03467317278786103)	(28, 0.036791233120722085)	(30, 0.038622217507641644)	(32, 0.040271153733720255)	(34, 0.04194459644298899)	(36, 0.043698560454168145)	(38, 0.045340494827906724)	(40, 0.04687740141654474)	(42, 0.048403805226672716)	(44, 0.04973415717127966)	(46, 0.051082013746736696)	(48, 0.05255240273814438)	(50, 0.05387225190424127)	(52, 0.05538815293585918)	(54, 0.056813029887056624)	(56, 0.05828341887846429)	(58, 0.059718798608171794)	(60, 0.06159879596147161)	(62, 0.06381488222709317)	(64, 0.0660029610833546)	(66, 0.0679004630675045)	(68, 0.07045263824544784)	(70, 0.07328838844316264)	(72, 0.07597709974173668)	(74, 0.07897389254327232)	(76, 0.08201269645884818)	(78, 0.08482394017337286)	(80, 0.08865395340337287)	(82, 0.09178728232553922)	(84, 0.0944829954764533)	(86, 0.09771785125755018)	(88, 0.1006131172001553)	(90, 0.10364491926339113)	(92, 0.10646316483025585)	(94, 0.10925690391393042)	(96, 0.11231321246035639)	(98, 0.11524698859083171)	(100, 0.11828929343257759)	(102, 0.12119156122752274)	(104, 0.12393978827098709)	(106, 0.1266950171667915)	(108, 0.12968130718981707)	(110, 0.13255206664923205)	(112, 0.13519176498142582)	(114, 0.13756539292469822)
HC_6hpi_1_R2 - polya	(1, 0.0029757872445155364)	(2, 0.00654673193793418)	(3, 0.007982111667641675)	(4, 0.00951551733010968)	(5, 0.010775850751316261)	(6, 0.011868139716361964)	(7, 0.013254506479689203)	(8, 0.016475358556106018)	(9, 0.02065546440310784)	(10, 0.024373447995667253)	(12, 0.02663854722766908)	(14, 0.029610833546014598)	(16, 0.032632132830740374)	(18, 0.03551339506866542)	(20, 0.03551339506866542)	(22, 0.03551339506866542)	(24, 0.03551339506866542)	(26, 0.03551339506866542)	(28, 0.03551339506866542)	(30, 0.037617451696846396)	(32, 0.04155249271194694)	(34, 0.04410466788989027)	(36, 0.046835390302504526)	(38, 0.04905497749429612)	(40, 0.05134108228331805)	(42, 0.05391076209211147)	(44, 0.0562913918877239)	(46, 0.058230904985914024)	(48, 0.06044349032536557)	(50, 0.0624985339871663)	(52, 0.06460259061534729)	(54, 0.06686068799500908)	(56, 0.06916779834105112)	(58, 0.07156593276751363)	(60, 0.07446820056245879)	(62, 0.07822819526905843)	(64, 0.08199869275416811)	(66, 0.08536308280355569)	(68, 0.08882199785953374)	(70, 0.09284106110271473)	(72, 0.096723588225265)	(74, 0.10078816350865621)	(76, 0.10506629528841854)	(78, 0.10903284463904926)	(80, 0.11332498012349167)	(82, 0.11752959245368363)	(84, 0.1215486556968646)	(86, 0.1256657448728061)	(88, 0.1299508785049085)	(90, 0.13400845193595967)	(92, 0.13818505685679144)	(94, 0.1421551071335922)	(96, 0.14642273613484447)	(98, 0.15078489014268726)	(100, 0.1548004524596982)	(102, 0.15874599625330882)	(104, 0.16312565489200168)	(106, 0.1669591690481717)	(108, 0.17080318598285177)	(110, 0.17516533999069456)	(112, 0.1786452606036927)	(114, 0.1816490552575684)
HC_6hpi_2_R1 - polya	(1, 0.0015268404187717046)	(2, 0.0033408388979546014)	(3, 0.004055232121416591)	(4, 0.004699586793558779)	(5, 0.00544899929268067)	(6, 0.0061844040815386015)	(7, 0.00711591681409198)	(8, 0.009826408750168355)	(9, 0.013083201386539192)	(10, 0.015996805121442997)	(12, 0.017709247701212176)	(14, 0.019957485198577853)	(16, 0.022044634027907982)	(18, 0.02416680213289801)	(20, 0.02602282374287279)	(22, 0.02768273740915212)	(24, 0.029185064334961895)	(26, 0.030711904753733598)	(28, 0.03246637046429467)	(30, 0.03394068196957652)	(32, 0.035236395168992865)	(34, 0.03660214691972903)	(36, 0.03803793722178499)	(38, 0.039435206320615056)	(40, 0.04070990795463547)	(42, 0.04195309224056197)	(44, 0.04305619942384887)	(46, 0.04406475456285403)	(48, 0.04522389258719677)	(50, 0.046376026756407535)	(52, 0.04751765514292032)	(54, 0.04881687026990266)	(56, 0.050116085396885)	(58, 0.051369775465509485)	(60, 0.052802063839999455)	(62, 0.05470010858076611)	(64, 0.05653862055291094)	(66, 0.0585067038449974)	(68, 0.0609615550687565)	(70, 0.06368255278753085)	(72, 0.06637203315821127)	(74, 0.06933816580660493)	(76, 0.07193309413300362)	(78, 0.07465058992421197)	(80, 0.07766224763096351)	(82, 0.08034122221894598)	(84, 0.08276805802217715)	(86, 0.08560111742306317)	(88, 0.08828359393861163)	(90, 0.09092054539580222)	(92, 0.0934489370984471)	(94, 0.0960753827729397)	(96, 0.09872984386796024)	(98, 0.10158391483424221)	(100, 0.1042523836395267)	(102, 0.1068823312415853)	(104, 0.10950177306094594)	(106, 0.1120021493430629)	(108, 0.1146671162207814)	(110, 0.11751768525949738)	(112, 0.1198639767287108)	(114, 0.12207719495041655)
HC_6hpi_2_R2 - polya	(1, 0.0029626307208276653)	(2, 0.006555608403533557)	(3, 0.007865329313213872)	(4, 0.009048980830518543)	(5, 0.010225628492691232)	(6, 0.011241187486828374)	(7, 0.012515889120848788)	(8, 0.015506535262204375)	(9, 0.019253597757813833)	(10, 0.02295513519506542)	(12, 0.025140337996243274)	(14, 0.028187014978654702)	(16, 0.0312441977437641)	(18, 0.03371655860535314)	(20, 0.03371655860535314)	(22, 0.03371655860535314)	(24, 0.03371655860535314)	(26, 0.03371655860535314)	(28, 0.03371655860535314)	(30, 0.035642618766647725)	(32, 0.03950874679950085)	(34, 0.041928578747600045)	(36, 0.044432456957283)	(38, 0.0466001501206309)	(40, 0.048984962793070186)	(42, 0.051292733059057696)	(44, 0.05350244935319748)	(46, 0.055656134806281427)	(48, 0.05790787423121309)	(50, 0.059981015350279256)	(52, 0.062134700803363196)	(54, 0.06425336698078724)	(56, 0.06654362760894479)	(58, 0.06888291522302621)	(60, 0.07186305558168382)	(62, 0.07504280581160289)	(64, 0.07828909266527576)	(66, 0.08129724844446129)	(68, 0.0847781644450555)	(70, 0.0885427365784949)	(72, 0.09247540123510184)	(74, 0.09638355239874684)	(76, 0.1000990975462624)	(78, 0.10379713305594798)	(80, 0.10815002902047374)	(82, 0.11227179776564414)	(84, 0.11582625424512413)	(86, 0.11949277240671582)	(88, 0.12321882333692935)	(90, 0.12692386270174694)	(92, 0.13065341555952642)	(94, 0.13428141251789222)	(96, 0.13814754055074535)	(98, 0.14217475725163403)	(100, 0.14596734480560136)	(102, 0.14962685911206106)	(104, 0.1533038830563507)	(106, 0.15655717376515554)	(108, 0.1603777767396508)	(110, 0.16426141441033387)	(112, 0.16755672824993062)	(114, 0.1704388146367405)
HC_6hpi_3_R1 - polya	(1, 0.001404996878494309)	(2, 0.0031860787800199225)	(3, 0.003803425893297725)	(4, 0.004463348669560203)	(5, 0.005080695782838006)	(6, 0.005847057716562174)	(7, 0.006769530414563488)	(8, 0.010005280801398866)	(9, 0.013574540548280873)	(10, 0.016420014024423387)	(12, 0.018130136487641207)	(14, 0.020436318232644492)	(16, 0.022767335781055505)	(18, 0.025126737104789635)	(20, 0.027095861517830902)	(22, 0.02878114817764099)	(24, 0.030441599034043358)	(26, 0.03204528233979949)	(28, 0.03410665402264089)	(30, 0.03561809005859688)	(32, 0.03693083966729106)	(34, 0.03816908186576205)	(36, 0.039712449648956566)	(38, 0.040929404015935214)	(40, 0.04237697655741421)	(42, 0.043540711345662016)	(44, 0.04477185760030224)	(46, 0.04583979714683452)	(48, 0.04703191571040545)	(50, 0.04826660993696105)	(52, 0.04959709940523218)	(54, 0.0507927659407185)	(56, 0.052350325611574565)	(58, 0.053719842770914975)	(60, 0.05556478816691761)	(62, 0.05772195509147452)	(64, 0.059620120066207996)	(66, 0.06148635329370296)	(68, 0.06385994650509866)	(70, 0.06646415789099466)	(72, 0.06926705570415251)	(74, 0.07228992777606451)	(76, 0.07517088097136092)	(78, 0.07797377878451875)	(80, 0.08086892386747672)	(82, 0.08392727565854262)	(84, 0.08634344453292297)	(86, 0.08914279437416542)	(88, 0.0918995685524232)	(90, 0.09459957518003474)	(92, 0.09730667775147706)	(94, 0.10008828773314254)	(96, 0.10275991058543098)	(98, 0.10547765707261947)	(100, 0.10805703265510774)	(102, 0.11063995620951142)	(104, 0.11329383920222291)	(106, 0.11582354317789574)	(108, 0.11838517890080708)	(110, 0.12107099364075706)	(112, 0.12357586181302216)	(114, 0.12557691797330195)
HC_6hpi_3_R2 - polya	(1, 0.003803425893297725)	(2, 0.0077700584947033744)	(3, 0.009274398586828594)	(4, 0.01082131434193849)	(5, 0.012027624793170977)	(6, 0.013099112311618658)	(7, 0.014390574088820496)	(8, 0.017307007003270803)	(9, 0.021287831492338014)	(10, 0.025300587728643728)	(12, 0.027674180940039414)	(14, 0.030807040141328495)	(16, 0.0334502792182938)	(18, 0.035862900120758774)	(20, 0.035862900120758774)	(22, 0.035862900120758774)	(24, 0.035862900120758774)	(26, 0.035862900120758774)	(28, 0.035862900120758774)	(30, 0.037874600196784715)	(32, 0.04152901126963607)	(34, 0.04348039582310039)	(36, 0.046027839658350174)	(38, 0.048238226161637934)	(40, 0.05067568286751064)	(42, 0.05281156196057522)	(44, 0.054770042457870316)	(46, 0.056877537775611775)	(48, 0.05894600540228395)	(50, 0.060911581843409834)	(52, 0.06300843324540513)	(54, 0.06525429946784679)	(56, 0.06739372653282676)	(58, 0.06949767387865283)	(60, 0.07214800889944892)	(62, 0.07497574251601448)	(64, 0.07806602605431888)	(66, 0.08096471910919224)	(68, 0.08439915592328945)	(70, 0.08794712783867911)	(72, 0.09171507401282294)	(74, 0.09540496480482819)	(76, 0.099045183990018)	(78, 0.10266411534371546)	(80, 0.10684362626004448)	(82, 0.11052287313630357)	(84, 0.11397504980997772)	(86, 0.11788491486073713)	(88, 0.12163512117530402)	(90, 0.12530017616390154)	(92, 0.12899716289973756)	(94, 0.13282187662452766)	(96, 0.1368204409731718)	(98, 0.1406345107822157)	(100, 0.14446277247892114)	(102, 0.14786172957386445)	(104, 0.15136712582626943)	(106, 0.15473060320205884)	(108, 0.1583495345557563)	(110, 0.16222037191544642)	(112, 0.16555901348782812)	(114, 0.16833707549757823)
HI_24hpi_1_R1 - polya	(1, 0.0012730639402729323)	(2, 0.0023622408669508855)	(3, 0.0030836437664388803)	(4, 0.0037413934689132285)	(5, 0.0043142722420360475)	(6, 0.0050073848317402)	(7, 0.005841948970363567)	(8, 0.007383770853583007)	(9, 0.009625777903952559)	(10, 0.011680361652004152)	(12, 0.013292909309683201)	(14, 0.015061053671173384)	(16, 0.016609948131838782)	(18, 0.017978491867632188)	(20, 0.01917729374472253)	(22, 0.020450357684995465)	(24, 0.021691595026761573)	(26, 0.02282320741811529)	(28, 0.024011400429036694)	(30, 0.025089968489545707)	(32, 0.026126101085378953)	(34, 0.027176378836104124)	(36, 0.028163003389815644)	(38, 0.0290718295916216)	(40, 0.029885175997907083)	(42, 0.03093545374863225)	(44, 0.03196805005574252)	(46, 0.03300771894029875)	(48, 0.034125186176760545)	(50, 0.035076447843242264)	(52, 0.035900403115696686)	(54, 0.036947144577698876)	(56, 0.037993886039701066)	(58, 0.03889563966406106)	(60, 0.03988226421777258)	(62, 0.04111996527081571)	(64, 0.041929775388378214)	(66, 0.04265117828786621)	(68, 0.04353171417988832)	(70, 0.044383959762126585)	(72, 0.045413019780513875)	(74, 0.04756661961280892)	(76, 0.05068208997775463)	(78, 0.05311859290788809)	(80, 0.055314628204858905)	(82, 0.057549562677782495)	(84, 0.05982339632665887)	(86, 0.062203318637224655)	(88, 0.06460092239140534)	(90, 0.06695962696963326)	(92, 0.06953758144868594)	(94, 0.07215089881496843)	(96, 0.07473946216019006)	(98, 0.07712292075947882)	(100, 0.07949930678132164)	(102, 0.08179082187381291)	(104, 0.08470826007027171)	(106, 0.09179498267112438)	(108, 0.09409357034106161)	(110, 0.09657958131331681)	(112, 0.09890292300431491)	(114, 0.10089738984407584)
HI_24hpi_1_R2 - polya	(1, 0.0038191918208187966)	(2, 0.006393610011148504)	(3, 0.007850560965016415)	(4, 0.009194350679748955)	(5, 0.010234019564305183)	(6, 0.01125954329396949)	(7, 0.012447736304890893)	(8, 0.014675598200368524)	(9, 0.01743390340429321)	(10, 0.020068438502913583)	(12, 0.022331663285621018)	(14, 0.025047533024869943)	(16, 0.027473427088834473)	(18, 0.02985334939940026)	(20, 0.03200341294297232)	(22, 0.03402617009251709)	(24, 0.036123189305244455)	(26, 0.03801156748331597)	(28, 0.0401121229847663)	(30, 0.04201111002900676)	(32, 0.043782790679219925)	(34, 0.04558983421666289)	(36, 0.047630272809822564)	(38, 0.049557550163846865)	(40, 0.05118070668769485)	(42, 0.053150419506394916)	(44, 0.05500343479723663)	(46, 0.0572242241152683)	(48, 0.059349533637779506)	(50, 0.06112828686543863)	(52, 0.06308739081796975)	(54, 0.0653293978683393)	(56, 0.06753604203147906)	(58, 0.06995132722927465)	(60, 0.07257878975044907)	(62, 0.07539367557394142)	(64, 0.0786399886216374)	(66, 0.08155035424065024)	(68, 0.08491336481620457)	(70, 0.08827991168048188)	(72, 0.09181620040346225)	(74, 0.09564600109044999)	(76, 0.09965615250230972)	(78, 0.10349656205546641)	(80, 0.10751024975604913)	(82, 0.1109934941481848)	(84, 0.11433528699140122)	(86, 0.11823934974157155)	(88, 0.12203732383005247)	(90, 0.1258671245170402)	(92, 0.12960498169723045)	(94, 0.13350197186995483)	(96, 0.13748029668330775)	(98, 0.14148691180644452)	(100, 0.14494186588879632)	(102, 0.14847815461177666)	(104, 0.152021515912203)	(106, 0.1555153691705076)	(108, 0.15896325067541345)	(110, 0.16234747898330568)	(112, 0.16536393326400795)	(114, 0.16778982732797246)
