Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HI_24hpi_1_R1	(1.0, 33.39445895357256)	(2.0, 11.247260909974424)	(3.0, 6.103849207610759)	(4.0, 3.998888165179304)	(5.0, 2.8374668128507032)	(6.0, 2.2865210837649257)	(7.0, 1.735324561446983)	(8.0, 1.4790122255723321)	(9.0, 1.1879150672921197)	('>10', 14.115832248922999)	('>50', 4.389323509562936)	('>100', 9.276259618328222)	('>500', 3.263446604380854)	('>1k', 4.165451702110358)	('>5k', 0.2746566041853076)	('>10k+', 0.2443327252451464)
HI_24hpi_1_R2	(1.0, 33.643265183466795)	(2.0, 11.241496161021539)	(3.0, 6.051414411858087)	(4.0, 4.061977306548389)	(5.0, 2.7671663390194245)	(6.0, 2.2636248150538916)	(7.0, 1.6947013203666563)	(8.0, 1.5253966490011455)	(9.0, 1.2225367542240149)	('>10', 13.885038926995087)	('>50', 4.326609300917629)	('>100', 9.140941330365603)	('>500', 3.3664371890715525)	('>1k', 4.271561157244334)	('>5k', 0.2840051701992194)	('>10k+', 0.2538279846465233)
HI_24hpi_2_R1	(1.0, 35.51912858987279)	(2.0, 12.822991322657524)	(3.0, 7.147420687697717)	(4.0, 4.798541530277036)	(5.0, 3.3783960562108883)	(6.0, 2.7707814306403904)	(7.0, 2.1182583865939195)	(8.0, 1.7200853657118702)	(9.0, 1.4919858614371677)	('>10', 15.928007391365837)	('>50', 3.975190967157506)	('>100', 5.718030492956494)	('>500', 1.2759358099905695)	('>1k', 1.2234981367065296)	('>5k', 0.11174797072365018)	('>10k+', 0.0)
HI_24hpi_2_R2	(1.0, 35.60286644122416)	(2.0, 12.841385851639037)	(3.0, 7.098507763506233)	(4.0, 4.656762532637469)	(5.0, 3.3926698358916956)	(6.0, 2.658730870553649)	(7.0, 2.1536318168555555)	(8.0, 1.7429348032664371)	(9.0, 1.431424247142179)	('>10', 15.742222256694715)	('>50', 4.095123368724804)	('>100', 5.892882215027052)	('>500', 1.2765116813493054)	('>1k', 1.2679618029930375)	('>5k', 0.14638451249455914)	('>10k+', 0.0)
HI_24hpi_3_R1	(1.0, 36.71143943467169)	(2.0, 13.181945245178781)	(3.0, 7.156564932426457)	(4.0, 4.653979635623167)	(5.0, 3.2460637646779857)	(6.0, 2.462658495908568)	(7.0, 2.0743002138424114)	(8.0, 1.6398115339058088)	(9.0, 1.498489234449907)	('>10', 15.090584161964221)	('>50', 3.9435468238023614)	('>100', 5.863715310745458)	('>500', 1.2416093367763665)	('>1k', 1.141369648522166)	('>5k', 0.09392222750461035)	('>10k+', 0.0)
HI_24hpi_3_R2	(1.0, 36.784048557883416)	(2.0, 13.148344460983372)	(3.0, 6.999520622666018)	(4.0, 4.526075210812095)	(5.0, 3.1636373529323865)	(6.0, 2.553688120183425)	(7.0, 2.0268683572219284)	(8.0, 1.6183922853434702)	(9.0, 1.365028899040454)	('>10', 15.329983297439146)	('>50', 3.9737209393012214)	('>100', 5.912644628658477)	('>500', 1.3028729151192677)	('>1k', 1.2012250556439057)	('>5k', 0.09394929677143242)	('>10k+', 0.0)
HI_48hpi_1_R1	(1.0, 33.3790080035779)	(2.0, 12.575362918904403)	(3.0, 6.99922557547836)	(4.0, 4.7107780238347665)	(5.0, 3.412541404113117)	(6.0, 2.711186487459624)	(7.0, 2.1639848812428486)	(8.0, 1.7134251736617183)	(9.0, 1.5431748298136654)	('>10', 16.510177096437005)	('>50', 4.238601301447244)	('>100', 6.61061049440816)	('>500', 1.576037898832251)	('>1k', 1.6372331705593095)	('>5k', 0.14333110228159515)	('>10k+', 0.07532163794792818)
HI_48hpi_1_R2	(1.0, 33.306778505388884)	(2.0, 12.686752847286659)	(3.0, 7.029583935108167)	(4.0, 4.632411976586587)	(5.0, 3.4084399485257233)	(6.0, 2.6062405412365464)	(7.0, 2.193738586928879)	(8.0, 1.7043318096015363)	(9.0, 1.4232165748524934)	('>10', 16.564672594626956)	('>50', 4.339504155377946)	('>100', 6.597040941889835)	('>500', 1.5727484240423608)	('>1k', 1.6484146037404526)	('>5k', 0.21121705270081753)	('>10k+', 0.07490750210629384)
HI_48hpi_2_R1	(1.0, 38.91290507848208)	(2.0, 13.452306908623784)	(3.0, 7.187529924164653)	(4.0, 4.586490423951389)	(5.0, 3.290271334940876)	(6.0, 2.4985328287349975)	(7.0, 2.030526886629343)	(8.0, 1.6976050445238815)	(9.0, 1.3811086909760668)	('>10', 14.4269583688036)	('>50', 3.5951692392702657)	('>100', 4.766606877601297)	('>500', 1.0594610172593821)	('>1k', 1.014929409409202)	('>5k', 0.09959796662902316)	('>10k+', 0.0)
HI_48hpi_2_R2	(1.0, 39.136776878530256)	(2.0, 13.345047403016094)	(3.0, 7.130556555537875)	(4.0, 4.558582915040033)	(5.0, 3.1998231692763994)	(6.0, 2.469132505889542)	(7.0, 2.041445934407637)	(8.0, 1.7452445770701641)	(9.0, 1.3589319432027556)	('>10', 14.391994671334233)	('>50', 3.5101015386802694)	('>100', 4.895247288751539)	('>500', 1.088721539441512)	('>1k', 1.0291802368161411)	('>5k', 0.09921284300562119)	('>10k+', 0.0)
HI_48hpi_3_R1	(1.0, 33.73747171088202)	(2.0, 11.836752401591175)	(3.0, 6.786929020806132)	(4.0, 4.501210008368471)	(5.0, 3.317594954298888)	(6.0, 2.550610729904406)	(7.0, 2.101502258501165)	(8.0, 1.7266302981432706)	(9.0, 1.4866132061942023)	('>10', 16.419531926855424)	('>50', 4.447379852118124)	('>100', 7.297854787870593)	('>500', 1.8780643016121663)	('>1k', 1.7650393385051013)	('>5k', 0.14681520434877932)	('>10k+', 0.0)
HI_48hpi_3_R2	(1.0, 33.843761517980006)	(2.0, 11.784420734179015)	(3.0, 6.674578743871569)	(4.0, 4.483021857300201)	(5.0, 3.3053726268300982)	(6.0, 2.5734715723320143)	(7.0, 2.0377957226700447)	(8.0, 1.7422688488874203)	(9.0, 1.4372257107509485)	('>10', 16.396786653683144)	('>50', 4.511315100181966)	('>100', 7.345230196911302)	('>500', 1.8826257975326184)	('>1k', 1.830652380090167)	('>5k', 0.15147253679956663)	('>10k+', 0.0)
HI_6hpi_1_R1	(1.0, 30.693921967123742)	(2.0, 13.347164248967614)	(3.0, 7.5880145426539825)	(4.0, 5.092758427371872)	(5.0, 3.7237542770887098)	(6.0, 2.882023486578145)	(7.0, 2.253179363292107)	(8.0, 1.9210522882820653)	(9.0, 1.57358700848863)	('>10', 17.155574726141346)	('>50', 4.0964534030866595)	('>100', 6.044027901341275)	('>500', 1.4832117375175422)	('>1k', 1.8001310854796164)	('>5k', 0.23440763260815464)	('>10k+', 0.11073790397854055)
HI_6hpi_1_R2	(1.0, 31.464712570403137)	(2.0, 13.292757043159147)	(3.0, 7.501003688834805)	(4.0, 4.956831097689425)	(5.0, 3.700801684288155)	(6.0, 2.8959853661957697)	(7.0, 2.2586592562992)	(8.0, 1.836579080084634)	(9.0, 1.5411637102171238)	('>10', 17.036038602813104)	('>50', 4.043807838378807)	('>100', 5.908072338503808)	('>500', 1.4568111625885887)	('>1k', 1.8008539041799883)	('>5k', 0.20261609340302836)	('>10k+', 0.10330656296129029)
HI_6hpi_2_R1	(1.0, 33.23218489827905)	(2.0, 13.28846365251713)	(3.0, 7.368826372626189)	(4.0, 5.073682400390559)	(5.0, 3.767273886330717)	(6.0, 2.914018078505346)	(7.0, 2.312510717604492)	(8.0, 1.9183896413421726)	(9.0, 1.597465570557441)	('>10', 17.36122155774733)	('>50', 3.811926420646055)	('>100', 4.884879964351054)	('>500', 1.1082658684624267)	('>1k', 1.2197390342340322)	('>5k', 0.06907539225412067)	('>10k+', 0.07207654415189726)
HI_6hpi_2_R2	(1.0, 33.646968480413484)	(2.0, 13.335094573947112)	(3.0, 7.513700534293738)	(4.0, 5.053584183386226)	(5.0, 3.6553816401635735)	(6.0, 2.83968483269349)	(7.0, 2.331659746585181)	(8.0, 1.927524133510749)	(9.0, 1.669623705294782)	('>10', 17.04212792119651)	('>50', 3.7864478504404464)	('>100', 4.786792707150879)	('>500', 1.0813873215315544)	('>1k', 1.1939748689227643)	('>5k', 0.0682320362135738)	('>10k+', 0.06781546425608385)
HI_6hpi_3_R1	(1.0, 37.555381032945014)	(2.0, 13.519181121335253)	(3.0, 7.494614328990634)	(4.0, 5.094179599158134)	(5.0, 3.6047964163164163)	(6.0, 2.7646536168400155)	(7.0, 2.2079544763891805)	(8.0, 1.8445487848071564)	(9.0, 1.5056890013190711)	('>10', 16.006905772918774)	('>50', 3.3833113074318244)	('>100', 3.842377849931168)	('>500', 0.6848976393276528)	('>1k', 0.49150905228954583)	('>5k', 0.0)	('>10k+', 0.0)
HI_6hpi_3_R2	(1.0, 37.382685571552706)	(2.0, 13.532078860929047)	(3.0, 7.463944475804284)	(4.0, 4.991866374565804)	(5.0, 3.653972399078033)	(6.0, 2.804511754865139)	(7.0, 2.3135842710580836)	(8.0, 1.885930574406194)	(9.0, 1.5584093429808996)	('>10', 15.739943050589652)	('>50', 3.530014478533176)	('>100', 3.9254199862378494)	('>500', 0.6768470815852707)	('>1k', 0.5407917778139059)	('>5k', 0.0)	('>10k+', 0.0)
