gene_id	baseMean	external_log2fc	external_lfc_se	external_signed_stat	external_p	genomewide_q	contrast	estimand
LITCHI009442	465.082706573695	0.121782851984983	0.121313588361449	1.00386818681957	0.315442152495596	0.442149449472126	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI017747	36.0613359361686	0.445268518071565	0.443658678117518	1.00362855508851	0.315557685534735	0.442277889178238	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI019935	227.506422327331	0.174907037294695	0.17428883731836	1.00354698548597	0.315597018820082	0.442299517817753	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI011354	773.187979772635	0.106250730105832	0.105881400745703	1.00348814199215	0.315625395457181	0.442305788938669	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI005233	652.575476863329	0.101388361501539	0.101067654600324	1.00317319029994	0.315777305983299	0.442485161837116	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI010748	1049.080062532	0.0873354041382426	0.0871084727800104	1.0026051582698	0.316051406011915	0.44283571350424	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI014768	241.977496333144	0.185519801318333	0.18511457193529	1.00218907338739	0.316252284048788	0.443083624797307	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI015394	53.3743827662083	-0.332494352145561	0.33181475457351	-1.00204812342635	0.316320351064558	0.443145438447244	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI021136	39.3753375365308	-0.400684934842788	0.399893426954116	-1.00197929707097	0.316353591918289	0.443158457111881	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI006611	40.3263188787722	-0.415541994819632	0.414894446416761	-1.00156075456894	0.316555783464744	0.44340812754637	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI016631	49.2700983606322	0.875220193091182	0.87392545696146	1.00148151781071	0.316594071086967	0.443428192965814	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI022159	88.3402212534792	0.258222936150545	0.257886692917409	1.0013038409595	0.316679936530075	0.443514888782944	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI019542	45.0115561520636	0.413104298136996	0.412655146453847	1.001088443188	0.316784051754055	0.443627128629392	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI028533	140.773728575921	0.206454524364831	0.206287732938572	1.00080853778304	0.316919381100901	0.443783060709208	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI024878	1976.9985982628	0.0720057603927177	0.0719672424462423	1.00053521498346	0.317051564462012	0.44393456419261	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI003438	50.9779436715081	0.366457578729131	0.366281001379081	1.00048208165148	0.317077264804595	0.443936958856702	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI013497	4.91404133796858	1.63909415359712	1.6385162421088	1.00035270415603	0.317139849803772	0.443990991119595	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI020110	32.3958510821274	0.440794270875828	0.440809508992165	0.999965431516275	0.317327237274169	0.444219723561427	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI029761	6.69053986020206	-1.00279366460588	1.0032849163176	-0.999510356725468	0.317547524551312	0.444477203991799	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
