gene_id	baseMean	lrt_model_log2fc	lrt_lfc_se	stat	lrt_p	lrt_q
LITCHI014383	16.0948891086221	-0.73036176165418	1.2817067830684	0.323642410502686	0.569426868186683	0.843602802487226
LITCHI014384	275.576339272701	-1.0128932850299	1.31350438553219	0.592359394887907	0.4415082029266	0.772746685651206
LITCHI014385	52.1868610617016	-0.198053465148323	0.584380949411292	0.114830655441949	0.734710134570506	0.915327945074544
LITCHI014386	1534.07387030179	0.263827243812947	0.154289579970456	2.9229801678928	0.0873264447537052	0.42104208237932
LITCHI014387	209.194675683586	-0.0740118665367638	0.228542726163639	0.104883710956202	0.746045885549064	0.919612456116812
LITCHI014388	1230.78119513391	0.0829375123820224	0.148442993816144	0.312164544613438	0.576354961826073	0.846205102820989
LITCHI014392	3033.53103460719	0.186523823840896	0.156733746065934	1.41600810306497	0.234061568802049	0.613055927445561
LITCHI014393	2453.61555268448	0.274547695129556	0.162416071786892	2.85636162441818	0.0910131475757536	0.426245162784421
LITCHI014394	1901.74885155598	0.265203570420637	0.302394734779484	0.7689484726356	0.380542547412774	0.730551054474447
LITCHI014395	1115.79466859567	-0.207337419367447	0.21449732814644	0.934040080016501	0.333815308616692	0.698984990283502
LITCHI014396	1883.31005128215	0.131490221240707	0.207147023488884	0.402923896639777	0.52558308515988	0.821025891263286
LITCHI014397	4162.94586870282	-2.23945243188978	1.16369804680589	3.61426662530172	0.0572859737714622	0.355226794231879
LITCHI014398	948.154531841714	-0.18814375892106	0.187251045950189	1.00925362265832	0.315081714327589	0.683995146773583
LITCHI014399	2358.94571832023	-0.823970004822356	0.564730327562121	2.12200805101625	0.14519606652404	0.510083799450532
LITCHI014400	2121.94475206425	-0.875612335036969	0.250368624530447	12.1884320933977	0.000480867839131921	0.0397892558805115
LITCHI014401	606.046641989727	0.209587580938034	0.194663932347501	1.1589444398995	0.281684561902287	0.658652754472099
LITCHI014402	11.7625703805653	-0.112726878378618	1.76274759685599	0.00409094973481672	0.949001652824762	0.985231732607105
LITCHI014404	539.433222888633	-0.112208030745531	0.162025894134691	0.479621861662182	0.488593647681804	0.79871403776147
LITCHI014405	29.2058112232495	-0.797386167958861	0.833810183980942	0.913551017782439	0.339173981509702	0.701845064430793
LITCHI014406	63.1115063011431	1.23932921544409	0.626120194472428	3.90183308085129	0.048233453222014	0.331882341791246
LITCHI014408	9.60894144220285	-0.402517886405086	1.0575071607726	0.14468595002991	0.70366627991196	0.902916115407686
LITCHI014409	19.9995193665496	-0.851057777239917	0.628620907489366	1.83276149939968	0.175801718894438	0.548133660902077
LITCHI014410	421.141390214695	0.129605253488529	0.178431626794633	0.527440531553026	0.467684905204403	0.787148921476633
LITCHI014411	771.936691354542	0.269027166162673	0.253646799083211	1.12451314710998	0.28894872795567	0.664837854649607
LITCHI014413	1528.60434087103	-0.726683567276661	0.228892998080714	10.0541440226081	0.00152005627737134	0.0734796910534431
LITCHI014415	2149.84801676112	-0.28246253782112	0.166284149789215	2.88417719851537	0.0894536924126596	0.424176818615116
LITCHI014416	327.425049947683	1.24446422278326	0.783073353586045	2.50692336296567	0.113347025801589	0.461043043025121
LITCHI014417	21.8424682915463	-0.274355158260415	1.31255030884401	0.0437795264775644	0.834264340982781	0.951229630022879
LITCHI014419	6.95186493466091	-1.89709096116692	1.31797305321003	2.06704714277335	0.150512692322121	0.515903279076968
LITCHI014420	175.211226637177	-0.940490547620476	0.533943843894254	3.09048751659314	0.078751210685443	0.402841245111955
LITCHI014422	8.50658462234644	0.0471994603960243	1.10044255144657	0.00183625176163105	0.965819904002069	0.989795337440653
LITCHI014423	356.216713351641	0.053195149664397	0.241741995448854	0.0484104013562927	0.82585274516211	0.948875569948309
LITCHI014425	46.6591052095392	-0.336926828515411	0.73659133592527	0.209403164410944	0.647235600255729	0.879059596771157
LITCHI014426	84.1676670548344	0.375259062129932	0.360966733908419	1.07997679819023	0.298702746455361	0.671709830556781
LITCHI014428	256.329334942193	0.750449241617795	0.296231406473944	6.40787485092245	0.0113615316724236	0.18502929930509
LITCHI014430	6.69737860092498	1.40432165652194	1.40776832541952	0.99468894785889	0.318599048755427	0.687247181893359
LITCHI014431	548.101106093872	0.0734519921270301	0.281282594558639	0.0681951805767369	0.793982949975922	0.9376859072142
LITCHI014432	3043.24120238419	0.0221246384080799	0.24860851611835	0.0079195405489827	0.929088426550964	0.978973166613112
LITCHI014433	96.9310431726551	0.45640981712499	0.306792867986934	2.21143530922841	0.136991162965457	0.498464289645081
LITCHI014434	500.67586756471	0.278533338238845	0.24653229018762	1.27581423009022	0.258678761475551	0.638731240240266
LITCHI014435	279.540395731289	1.17615143104461	0.331990160119635	12.49429219229	0.000408197258283931	0.0360790713060502
LITCHI014437	249.035704153799	-0.314239817079728	0.210226621039667	2.23381459110358	0.135020138911005	0.496026185740504
