gene_id	baseMean	interaction_log2fc	interaction_lfc_se	stat	interaction_p	interaction_q	signed_wald_stat	shrunken_interaction_log2fc	statistical_discovery	mappability_status	unique_gene_model_status	primary_gene_status
LITCHI010273	3499.94457597638	-1.95528721108059	0.549508267296517	-3.5582489426415	0.000373335396991368	0.0339229289462483	-3.5582489426415	-1.58393500523816	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI021650	356.021367405731	1.51730692249576	0.427009820157679	3.55333027689029	0.000380386563703318	0.0344028685172605	3.55333027689029	1.22908066145297	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI013925	464.590651429135	0.732979856813129	0.206544010812082	3.54878291523064	0.000387015999254996	0.0347426658623961	3.54878291523064	0.610929587793088	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI007341	181.107352103967	1.12275410016893	0.316419725056142	3.5483062883318	0.000387717073393672	0.0347426658623961	3.5483062883318	0.917444883940216	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI018722	125.994912721297	-3.83852740010122	1.08253234123516	-3.54587780326404	0.000391307616290134	0.0348588277657599	-3.54587780326404	-0.114568755817044	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI029021	135.366189385364	-1.04867717991123	0.29600438263543	-3.54277585546029	0.000395939077725925	0.0348588277657599	-3.54277585546029	-0.859044895039495	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI014435	279.540395731289	1.17615143104461	0.331990160119635	3.54272979241546	0.000396008237966504	0.0348588277657599	3.54272979241546	0.95685071403177	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI019823	1057.66649630577	-0.961984101388718	0.271546509372995	-3.54261265817762	0.000396184157173203	0.0348588277657599	-3.54261265817762	-0.787295267824354	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI006703	487.921663363943	-1.90056623259285	0.538295696011872	-3.53071043791318	0.000414445188596145	0.0363012914065407	-3.53071043791318	-1.53086737267505	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI001375	99.8583047623334	-2.04166764689842	0.57893906530424	-3.52656742178125	0.000420983963500491	0.0367086689249643	-3.52656742178125	-1.64248350409203	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
